turbine,latitude,longitude,time,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m,wind_speed_80m,wind_speed_120m,wind_direction_10m,wind_direction_80m,wind_direction_120m,wind_gusts_10m
WT_1,43.645139,78.535611,2026-09-23 13:00:00,26.3,26,952.6,1.4,1.51,1.59,4,356,356,5.4
WT_1,43.645139,78.535611,2026-09-23 14:00:00,27.0,24,952.0,2.37,2.82,2.95,305,300,300,6.6
WT_1,43.645139,78.535611,2026-09-23 15:00:00,27.0,23,951.7,3.91,4.88,5.11,286,284,284,8.2
WT_1,43.645139,78.535611,2026-09-23 16:00:00,26.1,21,951.7,4.56,5.81,6.08,274,273,273,8.9
WT_1,43.645139,78.535611,2026-09-23 17:00:00,25.1,22,951.8,3.99,5.68,5.95,258,261,261,8.7
WT_1,43.645139,78.535611,2026-09-23 18:00:00,22.8,24,951.5,3.48,6.37,6.67,231,246,246,6.8
WT_1,43.645139,78.535611,2026-09-23 19:00:00,21.5,27,951.8,3.22,6.46,6.77,224,238,238,5.8
WT_1,43.645139,78.535611,2026-09-23 20:00:00,20.5,31,951.8,2.42,5.75,6.02,210,231,231,5.3
WT_1,43.645139,78.535611,2026-09-23 21:00:00,19.9,32,951.6,2.67,6.19,6.48,210,235,235,4.1
WT_1,43.645139,78.535611,2026-09-23 22:00:00,19.8,31,951.3,3.29,6.73,7.05,210,231,231,5.4
WT_1,43.645139,78.535611,2026-09-23 23:00:00,18.7,35,950.6,2.83,5.89,6.17,197,226,226,5.4
WT_1,43.645139,78.535611,2026-09-24 00:00:00,17.2,41,950.2,2.02,4.64,4.85,189,230,230,4.6
WT_1,43.645139,78.535611,2026-09-24 01:00:00,16.3,46,949.7,1.75,3.68,3.85,182,235,235,3.4
WT_1,43.645139,78.535611,2026-09-24 02:00:00,15.4,51,949.2,1.3,2.46,2.58,176,243,243,3.2
WT_1,43.645139,78.535611,2026-09-24 03:00:00,14.5,57,949.1,0.67,0.73,0.77,167,266,266,2.6
WT_1,43.645139,78.535611,2026-09-24 04:00:00,14.1,61,949.0,0.94,0.69,0.73,155,129,129,2.0
WT_1,43.645139,78.535611,2026-09-24 05:00:00,13.2,68,948.8,1.5,1.42,1.49,154,128,128,3.2
